# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |                                                                                        _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                                          preempt_count_add();
 0) + 30.518 us   |                                                                                        }
 0)   0.000 us    |                                                                                        ntp_tick_length();
 0)   0.000 us    |                                                                                        ntp_tick_length();
 0)               |                                                                                        timekeeping_update() {
 0) + 30.517 us   |                                                                                          ntp_get_next_leap();
 0)   0.000 us    |                                                                                          update_vsyscall();
 0)               |                                                                                          raw_notifier_call_chain() {
 0)   0.000 us    |                                                                                            notifier_call_chain();
 0)   0.000 us    |                                                                                          }
 0) + 30.518 us   |                                                                                          update_fast_timekeeper();
 0)   0.000 us    |                                                                                          update_fast_timekeeper();
 0) + 61.035 us   |                                                                                        }
 0)               |                                                                                        _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                                          preempt_count_sub();
 0)   0.000 us    |                                                                                        }
 0) ! 122.070 us  |                                                                                      }
 0) ! 122.070 us  |                                                                                    }
 0) ! 183.105 us  |                                                                                  }
 0) ! 183.105 us  |                                                                                }
 0)               |                                                                                tick_sched_handle() {
 0)               |                                                                                  update_process_times() {
 0)               |                                                                                    account_process_tick() {
 0)               |                                                                                      account_system_time() {
 0)               |                                                                                        account_system_index_time() {
 0)               |                                                                                          cpuacct_account_field() {
 0)   0.000 us    |                                                                                            __rcu_read_lock();
 0)   0.000 us    |                                                                                            __rcu_read_unlock();
 0)   0.000 us    |                                                                                          }
 0) + 30.518 us   |                                                                                          __rcu_read_lock();
 0)   0.000 us    |                                                                                          __rcu_read_unlock();
 0)               |                                                                                          acct_account_cputime() {
 0)   0.000 us    |                                                                                            __acct_update_integrals();
 0)   0.000 us    |                                                                                          }
 0) + 30.518 us   |                                                                                        }
 0) + 91.553 us   |                                                                                      }
 0) + 91.553 us   |                                                                                    }
 0)               |                                                                                    run_local_timers() {
 0)   0.000 us    |                                                                                      hrtimer_run_queues();
 0)               |                                                                                      raise_softirq() {
 0)   0.000 us    |                                                                                        __raise_softirq_irqoff();
 0) + 30.518 us   |                                                                                      }
 0) + 30.518 us   |                                                                                    }
 0)               |                                                                                    rcu_sched_clock_irq() {
 0)   0.000 us    |                                                                                      rcu_is_cpu_rrupt_from_idle();
 0)   0.000 us    |                                                                                      rcu_preempt_need_deferred_qs();
 0) + 30.517 us   |                                                                                      rcu_segcblist_ready_cbs();
 0) + 30.517 us   |                                                                                    }
 0)               |                                                                                    scheduler_tick() {
 0)               |                                                                                      _raw_spin_lock() {
 0)   0.000 us    |                                                                                        preempt_count_add();
 0)   0.000 us    |                                                                                      }
 0) + 30.518 us   |                                                                                      update_rq_clock();
 0)               |                                                                                      task_tick_fair() {
 0)               |                                                                                        update_curr() {
 0)   0.000 us    |                                                                                          __calc_delta();
 0)   0.000 us    |                                                                                          update_min_vruntime();
 0)               |                                                                                          cpuacct_charge() {
 0)   0.000 us    |                                                                                            __rcu_read_lock();
 0)   0.000 us    |                                                                                            __rcu_read_unlock();
 0)   0.000 us    |                                                                                          }
 0)   0.000 us    |                                                                                          __rcu_read_lock();
 0)   0.000 us    |                                                                                          __rcu_read_unlock();
 0) + 61.035 us   |                                                                                        }
 0)               |                                                                                        __update_load_avg_se() {
 0)   0.000 us    |                                                                                          __accumulate_pelt_segments();
 0)   0.000 us    |                                                                                        }
 0)               |                                                                                        __update_load_avg_cfs_rq() {
 0)   0.000 us    |                                                                                          __accumulate_pelt_segments();
 0)   0.000 us    |                                                                                        }
 0)               |                                                                                        sugov_update_single() {
 0)   0.000 us    |                                                                                          sugov_iowait_boost();
 0) + 30.517 us   |                                                                                          cpufreq_this_cpu_can_update();
 0)   0.000 us    |                                                                                          tick_nohz_get_idle_calls_cpu();
 0)               |                                                                                          sugov_get_util() {
 0)   0.000 us    |                                                                                            schedutil_cpu_util();
 0)   0.000 us    |                                                                                          }
 0)               |                                                                                          _raw_spin_lock() {
 0)   0.000 us    |                                                                                            preempt_count_add();
 0) + 30.518 us   |                                                                                          }
 0)               |                                                                                          _raw_spin_unlock() {
 0)   0.000 us    |                                                                                            preempt_count_sub();
 0)   0.000 us    |                                                                                          }
 0) + 61.035 us   |                                                                                        }
 0)   0.000 us    |                                                                                        update_cfs_group();
 0)   0.000 us    |                                                                                        hrtimer_active();
 0)               |                                                                                        sched_slice() {
 0)   0.000 us    |                                                                                          __calc_delta();
 0)   0.000 us    |                                                                                        }
 0) ! 213.623 us  |                                                                                      }
 0)   0.000 us    |                                                                                      calc_global_load_tick();
 0)               |                                                                                      _raw_spin_unlock() {
 0)   0.000 us    |                                                                                        preempt_count_sub();
 0)   0.000 us    |                                                                                      }
 0) + 30.517 us   |                                                                                      trigger_load_balance();
 0) ! 274.658 us  |                                                                                    }
 0)   0.000 us    |                                                                                    run_posix_cpu_timers();
 0) ! 427.246 us  |                                                                                  }
 0)   0.000 us    |                                                                                  profile_tick();
 0) ! 427.246 us  |                                                                                }
 0)   0.000 us    |                                                                                hrtimer_forward();
 0) ! 640.869 us  |                                                                              }
 0)               |                                                                              _raw_spin_lock_irq() {
 0)   0.000 us    |                                                                                preempt_count_add();
 0)   0.000 us    |                                                                              }
 0) + 30.518 us   |                                                                              enqueue_hrtimer();
 0) ! 701.905 us  |                                                                            }
 0)               |                                                                            hrtimer_update_next_event() {
 0)               |                                                                              __hrtimer_get_next_event() {
 0)   0.000 us    |                                                                                __hrtimer_next_event_base();
 0)   0.000 us    |                                                                              }
 0)               |                                                                              __hrtimer_get_next_event() {
 0)   0.000 us    |                                                                                __hrtimer_next_event_base();
 0) + 30.517 us   |                                                                              }
 0) + 30.517 us   |                                                                            }
 0)               |                                                                            _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                              preempt_count_sub();
 0)   0.000 us    |                                                                            }
 0)               |                                                                            tick_program_event() {
 0)               |                                                                              clockevents_program_event() {
 0)   0.000 us    |                                                                                ktime_get();
 0)   0.000 us    |                                                                                omap2_gp_timer_set_next_event();
 0)   0.000 us    |                                                                              }
 0) + 30.517 us   |                                                                            }
 0) ! 823.974 us  |                                                                          }
 0) ! 823.974 us  |                                                                        }
 0) ! 823.974 us  |                                                                      }
 0)               |                                                                      add_interrupt_randomness() {
 0)   0.000 us    |                                                                        read_current_timer();
 0) + 30.518 us   |                                                                        random_get_entropy_fallback();
 0)   0.000 us    |                                                                        fast_mix();
 0) + 30.518 us   |                                                                      }
 0)   0.000 us    |                                                                      note_interrupt();
 0) ! 854.492 us  |                                                                    }
 0)               |                                                                    _raw_spin_lock() {
 0)   0.000 us    |                                                                      preempt_count_add();
 0) + 30.517 us   |                                                                    }
 0) ! 915.527 us  |                                                                  }
 0)               |                                                                  unmask_irq.part.9() {
 0)               |                                                                    irq_gc_unmask_enable_reg() {
 0)               |                                                                      _raw_spin_lock() {
 0) + 30.518 us   |                                                                        preempt_count_add();
 0) + 30.518 us   |                                                                      }
 0)   0.000 us    |                                                                      arm_heavy_mb();
 0)               |                                                                      _raw_spin_unlock() {
 0)   0.000 us    |                                                                        preempt_count_sub();
 0)   0.000 us    |                                                                      }
 0) + 61.036 us   |                                                                    }
 0) + 61.036 us   |                                                                  }
 0)               |                                                                  _raw_spin_unlock() {
 0)   0.000 us    |                                                                    preempt_count_sub();
 0)   0.000 us    |                                                                  }
 0) # 1098.633 us |                                                                }
 0) # 1129.151 us |                                                              }
 0)               |                                                              irq_exit() {
 0)   0.000 us    |                                                                preempt_count_sub();
 0)   0.000 us    |                                                                idle_cpu();
 0)   0.000 us    |                                                                rcu_irq_exit();
 0)   0.000 us    |                                                              }
 0) # 1220.703 us |                                                            }
 0) # 1220.703 us |                                                          }
 0)   <========== |
 0)               |                                                          __pskb_pull_tail() {
 0)               |                                                            pskb_expand_head() {
 0)               |                                                              __kmalloc_reserve.constprop.42() {
 0)               |                                                                __kmalloc_track_caller() {
 0) + 30.517 us   |                                                                  kmalloc_slab();
 0)   0.000 us    |                                                                  should_failslab();
 0)   0.000 us    |                                                                  memcg_kmem_put_cache();
 0) + 30.517 us   |                                                                }
 0) + 30.517 us   |                                                              }
 0)               |                                                              ksize() {
 0)   0.000 us    |                                                                __ksize();
 0) + 30.518 us   |                                                              }
 0)   0.000 us    |                                                              skb_release_data();
 0)   0.000 us    |                                                              skb_headers_offset_update();
 0) + 61.035 us   |                                                            }
 0)               |                                                            skb_copy_bits() {
 0)               |                                                              kmap_atomic() {
 0)   0.000 us    |                                                                preempt_count_add();
 0)   0.000 us    |                                                                page_address();
 0)   0.000 us    |                                                              }
 0)               |                                                              __kunmap_atomic() {
 0)   0.000 us    |                                                                preempt_count_sub();
 0)   0.000 us    |                                                              }
 0) + 30.517 us   |                                                            }
 0) ! 122.070 us  |                                                          }
 0)   0.000 us    |                                                          skb_csum_hwoffload_help();
 0)   0.000 us    |                                                          validate_xmit_xfrm();
 0) # 1403.809 us |                                                        }
 0) # 1403.809 us |                                                      }
 0)               |                                                      _raw_spin_lock() {
 0)   0.000 us    |                                                        preempt_count_add();
 0)   0.000 us    |                                                      }
 0)               |                                                      dev_hard_start_xmit() {
 0)               |                                                        usbnet_start_xmit() {
 0)               |                                                          smsc95xx_tx_fixup() {
 0)   0.000 us    |                                                            skb_push();
 0)   0.000 us    |                                                            skb_push();
 0) + 30.518 us   |                                                          }
 0)               |                                                          usb_alloc_urb() {
 0)               |                                                            __kmalloc() {
 0)   0.000 us    |                                                              kmalloc_slab();
 0)   0.000 us    |                                                              should_failslab();
 0) + 30.517 us   |                                                              memcg_kmem_put_cache();
 0) + 30.517 us   |                                                            }
 0)   0.000 us    |                                                            usb_init_urb();
 0) + 30.517 us   |                                                          }
 0)               |                                                          _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                            preempt_count_add();
 0) + 30.518 us   |                                                          }
 0)               |                                                          usb_autopm_get_interface_async() {
 0)               |                                                            __pm_runtime_resume() {
 0)               |                                                              _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                preempt_count_add();
 0)   0.000 us    |                                                              }
 0) + 30.518 us   |                                                              rpm_resume();
 0)               |                                                              _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                preempt_count_sub();
 0)   0.000 us    |                                                              }
 0) + 30.518 us   |                                                            }
 0) + 30.518 us   |                                                          }
 0)               |                                                          usb_submit_urb() {
 0)               |                                                            usb_hcd_submit_urb() {
 0)   0.000 us    |                                                              usb_get_urb();
 0)               |                                                              usb_hcd_map_urb_for_dma() {
 0)               |                                                                arm_dma_map_page() {
 0)               |                                                                  __dma_page_cpu_to_dev() {
 0)               |                                                                    dma_cache_maint_page() {
 0)   0.000 us    |                                                                      page_address();
 0)   0.000 us    |                                                                    }
 0) + 30.518 us   |                                                                  }
 0) + 30.518 us   |                                                                }
 0) + 30.518 us   |                                                              }
 0)               |                                                              ehci_urb_enqueue() {
 0)               |                                                                qh_urb_transaction() {
 0)               |                                                                  ehci_qtd_alloc() {
 0)               |                                                                    dma_pool_alloc() {
 0)               |                                                                      _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                        preempt_count_add();
 0)   0.000 us    |                                                                      }
 0)               |                                                                      _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                        preempt_count_sub();
 0)   0.000 us    |                                                                      }
 0) + 30.518 us   |                                                                    }
 0) + 30.518 us   |                                                                  }
 0)   0.000 us    |                                                                  qtd_fill.constprop.34();
 0) + 61.035 us   |                                                                }
 0)               |                                                                _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                  preempt_count_add();
 0)   0.000 us    |                                                                }
 0)               |                                                                usb_hcd_link_urb_to_ep() {
 0)               |                                                                  _raw_spin_lock() {
 0) + 30.518 us   |                                                                    preempt_count_add();
 0) + 30.518 us   |                                                                  }
 0)               |                                                                  _raw_spin_unlock() {
 0)   0.000 us    |                                                                    preempt_count_sub();
 0)   0.000 us    |                                                                  }
 0) + 30.518 us   |                                                                }
 0)               |                                                                qh_append_tds() {
 0)   0.000 us    |                                                                  arm_heavy_mb();
 0)   0.000 us    |                                                                }
 0)               |                                                                qh_link_async() {
 0)   0.000 us    |                                                                  qh_refresh();
 0)   0.000 us    |                                                                  arm_heavy_mb();
 0) + 30.517 us   |                                                                }
 0)               |                                                                _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                  preempt_count_sub();
 0)   0.000 us    |                                                                }
 0) ! 183.105 us  |                                                              }
 0) ! 244.141 us  |                                                            }
 0) ! 274.658 us  |                                                          }
 0)               |                                                          _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                            preempt_count_sub();
 0)   0.000 us    |                                                          }
 0) ! 396.729 us  |                                                        }
 0) ! 396.729 us  |                                                      }
 0)               |                                                      _raw_spin_unlock() {
 0)   0.000 us    |                                                        preempt_count_sub();
 0)   0.000 us    |                                                      }
 0) # 1861.572 us |                                                    }
 0)   0.000 us    |                                                    pfifo_fast_dequeue();
 0) # 1892.089 us |                                                  }
 0)               |                                                  _raw_spin_unlock() {
 0)   0.000 us    |                                                    preempt_count_sub();
 0)   0.000 us    |                                                  }
 0)   ==========> |
 0)               |                                                  omap_intc_handle_irq() {
 0)               |                                                    __handle_domain_irq() {
 0)               |                                                      irq_enter() {
 0) + 30.518 us   |                                                        rcu_irq_enter();
 0)   0.000 us    |                                                        preempt_count_add();
 0) + 30.518 us   |                                                      }
 0)   0.000 us    |                                                      irq_find_mapping();
 0)               |                                                      generic_handle_irq() {
 0)               |                                                        handle_level_irq() {
 0)               |                                                          _raw_spin_lock() {
 0)   0.000 us    |                                                            preempt_count_add();
 0)   0.000 us    |                                                          }
 0)               |                                                          mask_irq.part.5() {
 0)               |                                                            irq_gc_mask_disable_reg() {
 0)               |                                                              _raw_spin_lock() {
 0) + 30.518 us   |                                                                preempt_count_add();
 0) + 30.518 us   |                                                              }
 0)   0.000 us    |                                                              arm_heavy_mb();
 0)               |                                                              _raw_spin_unlock() {
 0)   0.000 us    |                                                                preempt_count_sub();
 0)   0.000 us    |                                                              }
 0) + 61.035 us   |                                                            }
 0) + 61.035 us   |                                                          }
 0)               |                                                          omap_mask_ack_irq() {
 0)               |                                                            irq_gc_mask_disable_reg() {
 0)               |                                                              _raw_spin_lock() {
 0)   0.000 us    |                                                                preempt_count_add();
 0)   0.000 us    |                                                              }
 0) + 30.518 us   |                                                              arm_heavy_mb();
 0)               |                                                              _raw_spin_unlock() {
 0)   0.000 us    |                                                                preempt_count_sub();
 0)   0.000 us    |                                                              }
 0) + 30.518 us   |                                                            }
 0) + 30.518 us   |                                                          }
 0) + 30.517 us   |                                                          irq_may_run();
 0)               |                                                          handle_irq_event() {
 0)               |                                                            _raw_spin_unlock() {
 0)   0.000 us    |                                                              preempt_count_sub();
 0)   0.000 us    |                                                            }
 0)               |                                                            handle_irq_event_percpu() {
 0)               |                                                              __handle_irq_event_percpu() {
 0)               |                                                                omap2_gp_timer_interrupt() {
 0)               |                                                                  hrtimer_interrupt() {
 0)               |                                                                    _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                      preempt_count_add();
 0)   0.000 us    |                                                                    }
 0)   0.000 us    |                                                                    ktime_get_update_offsets_now();
 0)               |                                                                    __hrtimer_run_queues() {
 0)   0.000 us    |                                                                      __remove_hrtimer();
 0)               |                                                                      _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                        preempt_count_sub();
 0)   0.000 us    |                                                                      }
 0)               |                                                                      ehci_hrtimer_func() {
 0)               |                                                                        _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                          preempt_count_add();
 0)   0.000 us    |                                                                        }
 0)   0.000 us    |                                                                        ktime_get();
 0)               |                                                                        ehci_enable_event() {
 0)               |                                                                          hrtimer_start_range_ns() {
 0)               |                                                                            lock_hrtimer_base() {
 0)               |                                                                              _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                                preempt_count_add();
 0)   0.000 us    |                                                                              }
 0)   0.000 us    |                                                                            }
 0) + 30.517 us   |                                                                            enqueue_hrtimer();
 0)               |                                                                            hrtimer_force_reprogram() {
 0)               |                                                                              hrtimer_update_next_event() {
 0)               |                                                                                __hrtimer_get_next_event() {
 0)   0.000 us    |                                                                                  __hrtimer_next_event_base();
 0)   0.000 us    |                                                                                }
 0)               |                                                                                __hrtimer_get_next_event() {
 0)   0.000 us    |                                                                                  __hrtimer_next_event_base();
 0) + 30.518 us   |                                                                                }
 0) + 30.518 us   |                                                                              }
 0)               |                                                                              tick_program_event() {
 0)               |                                                                                clockevents_program_event() {
 0)   0.000 us    |                                                                                  ktime_get();
 0)   0.000 us    |                                                                                  omap2_gp_timer_set_next_event();
 0) + 30.517 us   |                                                                                }
 0) + 30.517 us   |                                                                              }
 0) + 61.035 us   |                                                                            }
 0)               |                                                                            _raw_spin_unlock_irqrestore() {
 0) + 30.518 us   |                                                                              preempt_count_sub();
 0) + 30.518 us   |                                                                            }
 0) ! 122.070 us  |                                                                          }
 0) ! 152.588 us  |                                                                        }
 0)               |                                                                        _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                          preempt_count_sub();
 0)   0.000 us    |                                                                        }
 0) ! 183.105 us  |                                                                      }
 0)               |                                                                      _raw_spin_lock_irq() {
 0)   0.000 us    |                                                                        preempt_count_add();
 0)   0.000 us    |                                                                      }
 0) ! 213.623 us  |                                                                    }
 0)               |                                                                    hrtimer_update_next_event() {
 0)               |                                                                      __hrtimer_get_next_event() {
 0) + 30.517 us   |                                                                        __hrtimer_next_event_base();
 0) + 30.517 us   |                                                                      }
 0)               |                                                                      __hrtimer_get_next_event() {
 0)   0.000 us    |                                                                        __hrtimer_next_event_base();
 0)   0.000 us    |                                                                      }
 0) + 30.517 us   |                                                                    }
 0)               |                                                                    _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                      preempt_count_sub();
 0) + 30.518 us   |                                                                    }
 0)               |                                                                    tick_program_event() {
 0)               |                                                                      clockevents_program_event() {
 0)   0.000 us    |                                                                        ktime_get();
 0) + 30.517 us   |                                                                        omap2_gp_timer_set_next_event();
 0) + 30.517 us   |                                                                      }
 0) + 30.517 us   |                                                                    }
 0) ! 335.693 us  |                                                                  }
 0) ! 335.693 us  |                                                                }
 0) ! 366.211 us  |                                                              }
 0)               |                                                              add_interrupt_randomness() {
 0) + 30.518 us   |                                                                read_current_timer();
 0)   0.000 us    |                                                                random_get_entropy_fallback();
 0)   0.000 us    |                                                                fast_mix();
 0) + 30.518 us   |                                                              }
 0) + 30.518 us   |                                                              note_interrupt();
 0) ! 427.247 us  |                                                            }
 0)               |                                                            _raw_spin_lock() {
 0)   0.000 us    |                                                              preempt_count_add();
 0)   0.000 us    |                                                            }
 0) ! 427.247 us  |                                                          }
 0)               |                                                          unmask_irq.part.9() {
 0)               |                                                            irq_gc_unmask_enable_reg() {
 0)               |                                                              _raw_spin_lock() {
 0)   0.000 us    |                                                                preempt_count_add();
 0)   0.000 us    |                                                              }
 0)   0.000 us    |                                                              arm_heavy_mb();
 0)               |                                                              _raw_spin_unlock() {
 0) + 30.518 us   |                                                                preempt_count_sub();
 0) + 30.518 us   |                                                              }
 0) + 61.035 us   |                                                            }
 0) + 61.035 us   |                                                          }
 0)               |                                                          _raw_spin_unlock() {
 0)   0.000 us    |                                                            preempt_count_sub();
 0)   0.000 us    |                                                          }
 0) ! 671.386 us  |                                                        }
 0) ! 671.386 us  |                                                      }
 0)               |                                                      irq_exit() {
