# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 427.246 us  |                                                        }
 0)   0.000 us    |                                                        hrtimer_forward();
 0) ! 610.351 us  |                                                      }
 0)               |                                                      _raw_spin_lock_irq() {
 0)   0.000 us    |                                                        preempt_count_add();
 0) + 30.518 us   |                                                      }
 0)   0.000 us    |                                                      enqueue_hrtimer();
 0) ! 671.387 us  |                                                    }
 0)               |                                                    hrtimer_update_next_event() {
 0)               |                                                      __hrtimer_get_next_event() {
 0) + 30.518 us   |                                                        __hrtimer_next_event_base();
 0) + 30.518 us   |                                                      }
 0)               |                                                      __hrtimer_get_next_event() {
 0)   0.000 us    |                                                        __hrtimer_next_event_base();
 0)   0.000 us    |                                                      }
 0) + 30.518 us   |                                                    }
 0)               |                                                    _raw_spin_unlock_irqrestore() {
 0) + 30.517 us   |                                                      preempt_count_sub();
 0) + 30.517 us   |                                                    }
 0)               |                                                    tick_program_event() {
 0)               |                                                      clockevents_program_event() {
 0)   0.000 us    |                                                        ktime_get();
 0) + 30.518 us   |                                                        omap2_gp_timer_set_next_event();
 0) + 30.518 us   |                                                      }
 0) + 30.518 us   |                                                    }
 0) ! 793.457 us  |                                                  }
 0) ! 793.457 us  |                                                }
 0) ! 793.457 us  |                                              }
 0)               |                                              add_interrupt_randomness() {
 0) + 30.517 us   |                                                read_current_timer();
 0)   0.000 us    |                                                random_get_entropy_fallback();
 0)   0.000 us    |                                                fast_mix();
 0) + 30.517 us   |                                              }
 0)   0.000 us    |                                              note_interrupt();
 0) ! 854.492 us  |                                            }
 0)               |                                            _raw_spin_lock() {
 0)   0.000 us    |                                              preempt_count_add();
 0)   0.000 us    |                                            }
 0) ! 885.010 us  |                                          }
 0)               |                                          unmask_irq.part.9() {
 0)               |                                            irq_gc_unmask_enable_reg() {
 0)               |                                              _raw_spin_lock() {
 0)   0.000 us    |                                                preempt_count_add();
 0)   0.000 us    |                                              }
 0)   0.000 us    |                                              arm_heavy_mb();
 0)               |                                              _raw_spin_unlock() {
 0)   0.000 us    |                                                preempt_count_sub();
 0) + 30.518 us   |                                              }
 0) + 61.035 us   |                                            }
 0) + 61.035 us   |                                          }
 0)               |                                          _raw_spin_unlock() {
 0)   0.000 us    |                                            preempt_count_sub();
 0)   0.000 us    |                                          }
 0) # 1068.115 us |                                        } /* handle_level_irq */
 0) # 1098.633 us |                                      } /* generic_handle_irq */
 0)               |                                      irq_exit() {
 0)   0.000 us    |                                        preempt_count_sub();
 0)   0.000 us    |                                        ksoftirqd_running();
 0)               |                                        __do_softirq() {
 0) + 30.517 us   |                                          preempt_count_add();
 0)               |                                          run_timer_softirq() {
 0)               |                                            _raw_spin_lock_irq() {
 0)   0.000 us    |                                              preempt_count_add();
 0)   0.000 us    |                                            }
 0)               |                                            _raw_spin_unlock_irq() {
 0)   0.000 us    |                                              preempt_count_sub();
 0) + 30.518 us   |                                            }
 0)               |                                            _raw_spin_lock_irq() {
 0)   0.000 us    |                                              preempt_count_add();
 0)   0.000 us    |                                            }
 0)               |                                            _raw_spin_unlock_irq() {
 0)   0.000 us    |                                              preempt_count_sub();
 0) + 30.517 us   |                                            }
 0) + 61.035 us   |                                          }
 0) + 91.552 us   |                                        }
 0)   0.000 us    |                                        idle_cpu();
 0) + 30.518 us   |                                        rcu_irq_exit();
 0) ! 122.070 us  |                                      }
 0) # 1251.221 us |                                    } /* __handle_domain_irq */
 0) # 1251.221 us |                                  } /* omap_intc_handle_irq */
 0)   <========== |
 0)   0.000 us    |                                  preempt_count_sub();
 0) # 1281.738 us |                                } /* _raw_spin_unlock_irq */
 0) # 1281.738 us |                              } /* finish_task_switch */
 0)   0.000 us    |                              } /* preempt_count_sub */
 0) # 3143.310 us |                            } /* __local_bh_enable_ip */
